"SPECIES","SITE_ID","estimate","std.error","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd","genzname","code_urban","urban_names","bms_id","country_code","Country.Name"
"Aglais io","ES-CTBMS.20",0.0910909368063277,0.0327103655404301,"sum_2000m","exponential",0.00248199943133638,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.28",0.024962836118201,0.0287816069107093,"sum_2000m","exponential",0.00550441446457365,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.29",-0.0486406816036298,0.0305269237138274,"sum_2000m","exponential",0.00689336152805235,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.33",-0.032855222341802,0.0198786254226263,"sum_2000m","exponential",0.00958505183293115,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.42",-0.0202804267217039,0.369926090813355,"sum_2000m","exponential",0.0386876032867261,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",12,"LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.5",0.0226119662284127,0.0272711855383349,"sum_2000m","exponential",0.0184415459487279,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.53",-0.0310998099914069,0.0362636673072157,"sum_2000m","exponential",0.00566023621208842,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.55",0.0743819756904651,0.0337029570678336,"sum_2000m","exponential",0.00996090101520526,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.70",-0.0363543578536324,0.0980444211917926,"sum_2000m","exponential",0.0306608906827164,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.72",-0.0205952373928119,0.0286465825337254,"sum_2000m","exponential",0.00835757676694509,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.77",-0.0263194406861503,0.0886651471221186,"sum_2000m","exponential",0.014322995308393,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.85",-0.0408257734406014,0.0293446189957895,"sum_2000m","exponential",0.00711311816552609,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
