"SPECIES","SITE_ID","bms_id","M_YEAR","TOTAL_NM","SINDEX","GEO_REGION","RCLIM","M_YEAR_scaled","SINDEX_scaled","code_urban","urban_names","country_code","Country.Name","urban_type","pop_ID","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd"
"Aglais io","FIBMS.107","FIBMS",2015,0.39242,54.0195452536463,"R4","G. Cold and mesic",0.530920571873172,0.152391289635283,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2010,0.55121,46.8043059961517,"R4","G. Cold and mesic",-0.187465367843206,0.0646064010237353,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2001,0.66587,31.5041814640852,"R3","J. Cool temperate and moist",-1.48056005933269,-0.12154400644822,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2011,0.815150000000001,13.8842286732462,"R3","J. Cool temperate and moist",-0.0437881798999302,-0.335918823122232,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2017,0.25502,6.80434116966625,"R3","J. Cool temperate and moist",0.818274947759723,-0.422056941860081,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2018,0.79468,2.40885495079914,"R3","J. Cool temperate and moist",0.961952135702999,-0.475535039307237,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",1996,0.50384,0,"R3","J. Cool temperate and moist",-2.19894599904906,-0.504842600150438,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2019,0.68279,5.57002214083801,"R4","G. Cold and mesic",1.10562932364627,-0.437074400684367,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2011,0.53986,43.2271674101739,"R4","G. Cold and mesic",-0.0437881798999302,0.0210848071982839,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2007,0.66706,12.3408036331326,"R4","G. Cold and mesic",-0.618496931673033,-0.354697049372444,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
